Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Вінницька,Жданівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Вінницька,Агрономічна,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Вінницька,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Гніванська,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Іллінецька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Іллінецька,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Липовецька,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Лука-Мелешківська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Лука-Мелешківська,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Стрижавська,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Сутисківська,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Турбівська,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Бершадська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Бершадська,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Гайсинська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Дашівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Вінницька,Краснопільська,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Кунківська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Соболівська,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Теплицька,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Чечельницька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Копайгородська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Копайгородська,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Мурафська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Станіславчицька,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Шаргородська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Мурованокуриловецька,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Чернівецька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Вінницька,Брацлавська,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Вапнярська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Городківська,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Крижопільська,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Піщанська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Вінницька,Студенянська,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Томашпільська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Глуховецька,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Жданівська,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Іванівська,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Вінницька,Калинівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Козятинська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Уланівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Уланівська,"Програма ""U-LEAD з Європою""","Навчання з надання послуг і управління інфраструктурою на місцевому рівні, Навчання загального управлінського характеру",1
Волинська,Луцька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,21
Волинська,Луцька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,7
Волинська,Луцька,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Волинська,Володимир-Волинська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Волинська,Ковельська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Волинська,Нововолинська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,12
Волинська,Нововолинська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Волинська,Нововолинська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Волинська,Устилузька,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Волинська,Устилузька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,6
Волинська,Устилузька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,11
Волинська,Зимнівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,6
Волинська,Зимнівська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Волинська,Зимнівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,8
Волинська,Оваднівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,6
Волинська,Оваднівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Волинська,Оваднівська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Волинська,Горохівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Волинська,Горохівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,11
Волинська,Горохівська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Волинська,Берестечківська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Волинська,Мар’янівська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Волинська,Мар’янівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,8
Волинська,Іваничівська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Волинська,Іваничівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,7
Волинська,Іваничівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,14
Волинська,Павлівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,6
Волинська,Павлівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,8
Волинська,Поромівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,12
Волинська,Поромівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Волинська,Камінь-Каширська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Волинська,Камінь-Каширська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Волинська,Сошичненська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Волинська,Сошичненська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,6
Волинська,Ківерцівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,7
Волинська,Ківерцівська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Волинська,Олицька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,7
Волинська,Олицька,"Програма ""U-LEAD з Європою""",Громада з нуля,4
